Data properties:

Recording date: 2019/11/13
Recording time: 09:50:55:000 (corresponds to time 0)
Study: Test2
Subject: HZT
Recording: HZT
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
555	133814	516	212	295	
556	134330	333	941	430	
557	134663	83	1138	862	
558	134747	50	1196	752	
559	134797	67	1106	903	
560	134863	75	1149	870	
561	134938	233	1153	814	
562	135171	266	1132	468	
563	135438	366	1165	414	
564	135804	500	1185	880	
565	136304	158	1149	852	
566	136462	125	1185	841	
567	136895	142	1143	499	
568	137037	250	1169	412	
569	137287	208	1208	865	
570	137495	108	1173	873	
571	137603	50	1122	897	
572	137653	183	1166	868	
573	137836	241	897	499	
574	138078	191	480	297	
575	138269	325	256	302	
576	138594	325	1073	486	
577	138919	275	914	503	
578	139194	208	659	338	
579	139402	100	644	371	
580	139502	291	452	245	
581	139793	533	852	486	
582	140676	100	612	1244	
583	140776	83	668	894	
584	141151	50	543	1099	
585	141201	183	528	1159	
586	141384	67	583	1073	
587	141451	58	530	1210	
588	141509	83	581	1073	
589	141592	58	599	1165	
590	141650	75	547	1030	
591	141725	59	512	1062	
592	142333	8	521	438	
593	142467	58	310	237	
594	142525	400	278	191	
595	142924	225	661	309	
596	143149	366	647	416	
597	143516	158	517	424	
598	143674	167	521	940	
599	143841	75	482	971	
600	143916	108	420	356	
601	144024	108	417	313	
602	144132	699	313	147	
603	144832	250	1081	351	
604	145081	341	1075	234	
605	145423	391	1178	320	
606	145814	125	1192	903	
607	145939	75	1158	913	
608	146014	283	1178	837	
609	146597	125	1155	684	
610	146722	225	1183	844	
611	146947	58	1175	311	
612	147005	350	1145	346	
613	147355	167	1181	909	
614	147521	67	1200	873	
615	147588	92	1171	893	
616	147680	291	782	832	
617	147971	241	515	278	
618	148213	291	314	250	
619	148504	283	264	119	
620	148787	300	421	-26	
621	149087	308	231	193	
622	149395	200	501	259	
623	149595	258	657	496	
624	149853	67	540	440	
625	149920	67	514	401	
626	149986	250	548	431	
627	150236	258	409	209	
628	150494	308	279	133	
629	150802	300	445	20	
630	151102	225	556	206	
631	151327	266	255	181	
632	151594	466	605	428	
633	152060	50	665	416	
634	152293	291	988	390	
635	152585	291	1047	827	
636	152876	233	917	592	
637	153109	208	1096	433	
638	153317	175	711	310	
639	153492	200	556	380	
640	153692	83	1088	640	
641	153775	75	1053	647	
642	153850	325	1159	629	
643	154175	316	1178	866	
644	154492	258	1178	589	
645	154750	300	1159	619	
646	155049	316	657	450	
647	155366	325	402	339	
648	155982	108	465	892	
649	156090	266	1065	892	
650	156357	92	1103	881	
651	156449	100	1056	904	
652	156549	383	1167	888	
653	156932	50	1201	832	
654	156982	816	1171	871	
655	157798	67	1204	825	
656	157864	133	1182	858	
657	157997	83	1222	835	
658	158081	566	1182	862	
659	158647	67	1223	850	
660	158714	233	1177	869	
661	158947	83	1214	850	
662	159030	250	1167	597	
663	159280	125	1174	634	
664	159738	58	1210	863	
665	159796	241	1107	876	
666	160038	200	1014	861	
667	160238	300	1175	874	
668	160537	67	350	876	
669	160604	216	387	842	
670	160821	125	400	268	
671	160945	433	414	305	
672	161379	292	855	458	
673	161670	183	991	561	
674	161853	400	1136	596	
675	162253	58	1132	561	
676	162311	358	1120	607	
677	162669	483	1171	622	
678	163152	108	1181	858	
679	163261	50	1218	877	
680	163311	175	1171	879	
681	163485	50	1204	858	
682	163535	67	1154	871	
683	164143	67	1004	531	
684	164410	75	715	289	
685	164485	333	734	339	
686	164818	141	953	461	
687	164959	50	978	415	
688	165009	142	953	467	
689	165151	183	831	204	
690	165334	491	1157	193	
691	165825	225	399	495	
692	166050	258	889	877	
693	166308	92	1150	907	
694	166400	58	1204	864	
695	166458	366	1163	898	
696	166825	108	331	891	
697	166933	117	331	933	
698	167050	150	320	401	
699	167199	225	334	439	
700	167424	142	365	546	
701	167566	67	379	580	
702	167633	216	546	924	
703	167849	100	707	774	
704	167949	50	665	817	
705	167999	67	704	795	
706	168066	508	763	885	
707	168574	150	791	861	
708	168723	50	817	787	
709	168773	83	775	825	
710	168857	225	709	234	
711	169082	283	724	143	
712	169365	591	693	168	
713	169956	250	762	140	
714	170206	183	843	152	
715	170389	291	919	225	
716	170680	191	1002	141	
717	170872	491	1159	145	
718	171363	600	538	309	
719	171963	192	713	152	
720	172155	275	1005	841	
721	172429	366	1202	894	
722	172796	50	1218	852	
723	172846	408	1180	901	
724	173254	75	1236	850	
725	173329	258	1177	893	
726	173587	150	1163	278	
727	173737	200	1157	188	
728	173937	316	1176	140	
729	174253	125	1156	861	
730	174378	58	1188	821	
731	174436	75	1144	879	
732	174511	250	1179	885	
733	174761	383	688	824	
734	175144	50	810	719	
735	175436	75	1057	365	
736	175510	133	988	143	
737	175644	458	1281	2	
738	176102	50	1240	70	
739	176152	458	1260	24	
740	176610	183	851	296	
741	176793	183	971	404	
742	176976	108	1124	487	
743	177451	158	495	360	
