Data properties:

Recording date: 2019/11/13
Recording time: 11:06:06:000 (corresponds to time 0)
Study: Test1
Subject: HMH
Recording: HMH
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
586	168727	108	1126	838	
587	168835	208	1072	908	
588	169043	250	1072	860	
589	169818	125	951	378	
590	169943	225	723	393	
591	170168	483	605	808	
592	170867	483	662	309	
593	171350	500	628	223	
594	171850	100	607	163	
595	171950	83	617	204	
596	172033	83	619	162	
597	172116	75	611	222	
598	172191	283	616	161	
599	172799	341	610	265	
600	173141	400	682	348	
601	173540	258	614	333	
602	173798	58	633	221	
603	173857	916	608	330	
604	174773	83	485	293	
605	174856	92	487	235	
606	174948	291	340	158	
607	175239	183	305	135	
608	175864	183	598	489	
609	176047	316	939	440	
610	176363	750	1114	365	
611	177113	208	998	363	
612	177321	366	634	340	
613	177687	216	1120	374	
614	177904	175	1077	855	
615	178079	133	1113	817	
616	178212	50	737	816	
617	178379	125	669	836	
618	178503	150	396	859	
619	178903	225	881	510	
620	179128	158	731	371	
621	179286	75	750	338	
622	179361	92	743	388	
623	179453	58	750	295	
624	179511	67	736	378	
625	179578	208	386	170	
626	179786	441	448	129	
627	180227	142	453	190	
628	180369	100	475	121	
629	180469	150	466	184	
630	180619	550	620	340	
631	181351	741	590	369	
632	182093	75	588	325	
633	182168	258	551	349	
634	182426	50	563	282	
635	182476	83	557	345	
636	182559	191	835	411	
637	182750	908	783	407	
638	183783	125	752	408	
639	184099	400	698	351	
640	184499	175	583	414	
641	184674	58	578	359	
642	184732	108	593	394	
643	184841	250	684	382	
644	185324	300	674	351	
645	185624	67	689	314	
646	185690	216	671	360	
647	185907	158	499	233	
648	186065	83	781	268	
649	186148	133	767	301	
650	186281	108	834	363	
651	186390	83	830	403	
652	186473	208	1003	496	
653	186681	191	1087	597	
654	186873	175	1129	628	
655	187047	167	1007	861	
656	187214	166	603	843	
657	187381	75	647	830	
658	187456	225	404	869	
659	187797	58	437	897	
660	187855	67	1118	843	
661	187922	142	1086	882	
662	188064	58	1088	838	
663	188122	325	687	266	
664	188446	375	426	174	
665	188821	67	469	152	
666	188888	58	461	204	
667	188946	175	478	169	
