Data properties:				
Recording date: 2021/10/3				
Recording time: 16:50:57:000 (corresponds to time 0)				
Study: Test2				
Subject: P16				
Recording: Rec 12				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
838	283867	350	272	599
839	284217	366	-396	634
840	284583	316	514	912
841	284900	200	1164	251
842	285099	699	1152	96
843	285799	166	506	465
844	286182	50	845	401
845	286398	183	849	368
846	286581	183	1055	246
847	286765	367	1114	150
848	287131	284	689	414
849	287415	134	215	288
850	287549	133	209	327
851	287682	316	-11	288
852	287998	133	883	111
853	288347	216	109	356
854	288564	200	415	601
855	288763	366	850	287
856	289130	400	391	631
857	289529	216	1083	204
858	289746	200	1148	108
859	289946	266	578	455
860	290212	333	251	851
861	290545	683	-160	871
862	291228	299	578	447
863	291527	183	330	615
864	291710	316	552	543
865	292027	283	879	387
866	292310	300	485	286
867	292610	366	1058	500
868	292976	283	1114	563
869	293259	317	1044	935
870	293576	233	552	908
871	293809	250	316	887
872	294308	117	405	316
873	294425	333	440	288
874	294758	450	307	467
875	295208	300	413	311
876	295508	383	627	501
877	295891	433	589	546
878	296324	217	634	586
879	296541	466	706	588
880	297007	283	403	888
881	297290	200	240	954
882	297490	233	210	898
883	297990	266	411	1048
884	298706	17	571	489
885	298856	100	575	491
886	299872	183	-9	564
887	300055	300	225	568
888	300355	267	493	613
889	300622	466	211	600
890	301088	233	571	565
891	301321	217	202	555
892	301538	350	616	528
893	301887	300	281	546
894	302187	216	507	550
895	302404	217	781	558
896	302620	466	570	534
897	303403	83	437	509
898	303486	500	227	666
899	303986	217	477	549
900	304203	133	878	293
901	304336	417	1075	187
902	304752	483	1153	143
903	305235	200	1102	896
904	305435	233	1109	841
905	305668	183	741	804
906	305852	266	1130	158
907	306118	265	1161	124
908	306783	500	1128	776
909	307283	267	1144	151
910	307549	799	1152	86
911	308682	283	1120	206
912	308965	416	1062	728
913	309381	317	705	823
914	309698	200	657	499
915	309898	250	553	497
916	310147	233	263	635
917	310381	450	924	282
918	310830	217	237	804
919	311347	483	202	951
920	311830	100	248	965
921	312496	183	666	838
922	312679	233	475	1053
923	312912	183	498	586
924	313095	416	659	511
925	313512	167	827	329
926	313678	316	402	163
927	313995	649	295	139
928	314644	416	473	157
929	315061	400	701	178
930	315460	433	827	332
931	315893	400	1031	627
932	316293	333	932	561
933	316626	300	1133	607
934	316926	599	745	363
935	317525	333	587	293
936	317859	133	774	802
937	317992	216	810	907
938	318208	516	828	283
939	319258	216	366	900
940	319474	300	627	427
941	319774	350	858	398
942	320124	250	719	906
943	320374	266	831	899
944	320640	217	1132	946
945	320856	183	812	919
946	321040	116	860	478
947	321156	449	848	342
948	321606	350	889	716
949	321956	516	1062	604
950	322472	350	1131	611
951	322822	383	1113	914
952	323204	400	1131	596
953	323604	333	808	541
954	325237	133	567	1246
955	325869	283	545	1210
956	326504	16	548	1185
957	326670	16	553	1262
958	327053	50	318	1247
959	327320	83	321	1268
960	327520	17	992	1448
961	327686	284	305	572
962	327969	149	726	371
963	328285	83	467	432
964	328369	283	411	445
965	328652	117	467	435
966	328769	233	813	340
967	329002	416	821	233
968	329418	233	744	385
969	329651	233	822	210
970	329885	450	1036	469
971	330334	233	712	494
972	330567	400	393	455
973	330967	233	751	818
974	331200	233	583	952
975	331434	150	978	892
976	332583	216	804	367
977	332799	333	808	251
978	333132	317	758	267
979	333449	1399	825	244
980	334848	151	514	222
981	335281	84	1095	448
982	335531	333	440	941
983	335864	300	772	903
984	336164	117	1028	898
985	336280	350	496	409
986	336630	400	884	343
987	337030	200	1160	647
988	337230	266	210	979
989	337496	116	606	534
990	337613	350	412	428
991	337963	500	657	522
992	339928	83	415	628
993	340011	133	416	573
994	340144	283	661	529
995	340427	283	665	425
996	340711	316	1014	153
997	341027	216	315	391
998	341243	366	233	473
999	341776	233	460	366
1000	342010	233	681	445
1001	342243	250	633	463
1002	342792	117	291	386
1003	342909	250	435	349
1004	343159	217	869	271
1005	343376	266	527	377
1006	343642	266	286	407
1007	343908	650	441	312
1008	344558	267	390	360
1009	344824	150	317	416
1010	345191	300	346	410
1011	345491	383	256	395
1012	345874	250	689	409
1013	346124	216	915	272
1014	346340	333	979	175
1015	346673	816	915	224
1016	347489	183	891	886
1017	347672	183	922	783
1018	347856	200	1069	81
1019	348055	533	1133	121
1020	348589	300	1068	823
1021	348888	450	1005	183
1022	349338	266	876	287
1023	349604	366	958	207
1024	349971	517	898	230
1025	350487	616	843	357
1026	351104	649	709	493
1027	351753	916	678	527
1028	352669	516	763	535
1029	353186	583	704	547
1030	354651	116	501	535
1031	354768	367	557	546
1032	355134	1132	449	515
1033	356267	500	703	313
1034	356766	183	491	378
1035	356949	350	214	423
1036	357299	166	228	458
1037	357466	233	312	819
1038	357699	383	372	426
1039	358082	166	722	377
1040	358249	300	1067	192
1041	358865	117	301	512
1042	358981	350	382	443
1043	359331	450	604	353
1044	359781	466	286	451
1045	360247	400	726	277
1046	360647	349	709	244
1047	360996	267	609	831
1048	361263	283	813	299
1049	361546	283	987	207
1050	361829	267	1108	162
1051	362096	333	1009	872
1052	362429	566	1073	183
1053	362995	167	1068	888
1054	363162	233	1088	846
1055	363395	183	1176	279
1056	363762	200	1124	134
1057	363961	167	1161	94
1058	364294	183	1176	98
1059	364478	583	824	223
1060	365061	250	549	338
1061	365311	183	1132	134
1062	365610	216	1135	118
1063	365827	183	806	179
1064	366010	733	1140	110
1065	366743	333	855	265
1066	367076	167	759	587
1067	367242	216	673	544
1068	367992	350	605	497
1069	368342	300	817	362
1070	368641	400	390	250
1071	369041	316	721	425
1072	369358	200	1051	624
1073	369558	350	1090	605
1074	369907	250	318	277
1075	370157	200	740	892
1076	370357	333	1054	927
1077	370690	250	284	845
1078	370940	266	318	263
1079	371207	549	702	412
1080	371755	466	597	422
1081	372221	450	801	487
1082	372671	383	645	460
1083	373054	533	737	435
1084	373587	283	831	545
1085	373870	383	519	398
1086	374253	450	674	420
1087	374703	283	502	386
1088	374986	250	413	310
1089	375236	133	316	269
1090	375552	83	444	308
1091	375636	200	363	867
1092	375836	166	936	521
1093	376002	300	420	227
1094	376302	383	548	351
1095	376685	133	981	465
1096	376818	350	368	274
1097	377168	366	978	538
